,Aggressive Advances,Cautious Advances,Distracted Advances,Learning Advances,Run,,,,,,
61,56,0,84,56,7,,,,,,
62,29,0,87,58,7,,,,,,
63,30,0,90,0,7,,,,,,
64,31,0,62,0,7,,,,,,
65,32,0,64,0,7,,,,,,
66,33,0,33,0,7,,,,,,
67,0,0,34,0,7,,,,,,
68,0,0,35,0,7,,,,,,
69,0,0,36,0,7,,,,,,
70,7,9,7,7,7,,,,,,
71,14,18,14,14,7,,,,,,
72,21,27,18,21,7,,,,,,
73,28,36,24,28,7,,,,,,
74,35,45,30,35,7,,,,,,
75,42,48,36,42,7,,,,,,
76,49,56,42,49,7,,,,,,
77,56,64,48,56,7,,,,,,
78,63,72,54,63,7,,,,,,
79,70,80,60,70,7,,,,,,
80,77,88,66,77,7,,,,,,
81,84,96,72,72,7,,,,,,
82,91,91,78,65,7,,,,,,
83,84,98,70,70,7,,,,,,
84,90,105,75,75,7,,,,,,
85,96,80,80,80,7,,,,,,
86,102,85,68,68,7,,,,,,
87,108,90,72,72,7,,,,,,
88,95,95,76,76,7,,,,,,
89,100,100,80,80,7,,,,,,
90,105,105,84,84,7,,,,,,
91,88,110,66,88,7,,,,,,
92,69,115,69,92,7,,,,,,
93,72,120,72,72,7,,,,,,
94,75,100,75,50,7,,,,,,
95,78,104,78,52,7,,,,,,
96,81,108,81,54,7,,,,,,
97,84,112,56,28,7,,,,,,
98,87,116,58,0,7,,,,,,
99,90,60,60,0,7,,,,,,
0,5,9,6,10,8,,,,,,
1,10,18,12,20,8,,,,,,
2,15,27,15,27,8,,,,,,
3,20,36,20,36,8,,,,,,
4,25,45,25,45,8,,,,,,
5,30,54,30,54,8,,,,,,
6,35,63,35,63,8,,,,,,
7,40,72,40,72,8,,,,,,
8,45,81,45,72,8,,,,,,
9,50,80,50,80,8,,,,,,
10,55,88,55,88,8,,,,,,
11,60,96,60,96,8,,,,,,
12,65,104,65,104,8,,,,,,
13,70,112,56,112,8,,,,,,
14,75,105,60,120,8,,,,,,
15,48,112,64,96,8,,,,,,
16,51,102,68,102,8,,,,,,
17,54,108,72,72,8,,,,,,
18,57,114,76,57,8,,,,,,
19,60,100,80,60,8,,,,,,
20,63,105,84,63,8,,,,,,
21,44,88,88,66,8,,,,,,
22,46,92,92,23,8,,,,,,
23,48,72,96,24,8,,,,,,
24,25,75,75,25,8,,,,,,
25,26,52,26,0,8,,,,,,
26,27,27,27,0,8,,,,,,
27,10,5,8,7,8,,,,,,
28,20,10,16,14,8,,,,,,
29,30,15,24,21,8,,,,,,
30,40,20,32,28,8,,,,,,
31,50,25,40,35,8,,,,,,
32,60,30,48,42,8,,,,,,
33,70,35,56,49,8,,,,,,
34,80,40,64,56,8,,,,,,
35,90,45,72,54,8,,,,,,
36,100,50,70,60,8,,,,,,
37,110,55,77,66,8,,,,,,
38,120,60,84,60,8,,,,,,
39,130,65,91,65,8,,,,,,
40,140,56,98,70,8,,,,,,
41,150,60,105,75,8,,,,,,
42,144,64,112,64,8,,,,,,
43,153,68,119,51,8,,,,,,
44,162,72,126,54,8,,,,,,
45,171,57,133,57,8,,,,,,
46,160,60,120,60,8,,,,,,
47,168,63,105,63,8,,,,,,
48,154,22,110,44,8,,,,,,
49,138,23,115,46,8,,,,,,
50,72,24,96,24,8,,,,,,
51,50,25,100,25,8,,,,,,
52,26,26,78,26,8,,,,,,
53,27,27,27,27,8,,,,,,
54,28,28,28,28,8,,,,,,
55,29,29,29,29,8,,,,,,
56,30,30,30,30,8,,,,,,
57,31,0,31,31,8,,,,,,
58,32,0,32,32,8,,,,,,
59,9,6,6,9,8,,,,,,
60,18,12,12,18,8,,,,,,
61,24,15,18,27,8,,,,,,
62,32,20,24,36,8,,,,,,
63,40,25,30,45,8,,,,,,
64,48,30,36,54,8,,,,,,
65,56,35,42,63,8,,,,,,
66,64,40,48,72,8,,,,,,
67,72,45,54,81,8,,,,,,
68,80,50,50,90,8,,,,,,
69,88,55,55,99,8,,,,,,
70,96,48,60,108,8,,,,,,
71,104,39,65,104,8,,,,,,
72,112,42,56,112,8,,,,,,
73,105,45,60,120,8,,,,,,
74,112,48,64,112,8,,,,,,
75,119,51,51,119,8,,,,,,
76,108,54,54,108,8,,,,,,
77,114,57,57,114,8,,,,,,
78,120,60,60,100,8,,,,,,
79,126,63,63,63,8,,,,,,
80,110,66,66,44,8,,,,,,
81,92,46,69,23,8,,,,,,
82,72,48,48,24,8,,,,,,
83,75,25,25,25,8,,,,,,
84,78,0,26,26,8,,,,,,
85,54,0,27,27,8,,,,,,
86,28,0,28,28,8,,,,,,
87,29,0,29,29,8,,,,,,
88,0,0,30,30,8,,,,,,
89,11,6,6,7,8,,,,,,
90,22,12,12,14,8,,,,,,
91,33,18,18,21,8,,,,,,
92,40,24,24,28,8,,,,,,
93,50,30,30,35,8,,,,,,
94,60,36,36,36,8,,,,,,
95,70,42,42,42,8,,,,,,
96,80,48,48,48,8,,,,,,
97,81,54,54,54,8,,,,,,
98,90,60,60,60,8,,,,,,
99,88,66,66,66,8,,,,,,
0,10,8,4,8,9,,,,,,
1,20,16,8,16,9,,,,,,
2,30,24,12,24,9,,,,,,
3,40,32,16,32,9,,,,,,
4,50,40,20,40,9,,,,,,
5,60,48,24,48,9,,,,,,
6,70,56,28,56,9,,,,,,
7,72,64,32,64,9,,,,,,
8,81,72,36,72,9,,,,,,
9,80,80,40,80,9,,,,,,
10,88,77,33,88,9,,,,,,
11,96,84,36,96,9,,,,,,
12,104,78,39,104,9,,,,,,
13,112,84,28,112,9,,,,,,
14,120,75,30,120,9,,,,,,
15,128,80,32,112,9,,,,,,
16,136,85,34,119,9,,,,,,
17,144,90,36,126,9,,,,,,
18,133,95,19,133,9,,,,,,
19,140,100,20,140,9,,,,,,
20,84,105,21,126,9,,,,,,
21,66,110,0,110,9,,,,,,
22,69,115,0,115,9,,,,,,
23,72,72,0,96,9,,,,,,
24,25,75,0,75,9,,,,,,
25,26,52,0,52,9,,,,,,
26,27,27,0,27,9,,,,,,
27,28,28,0,28,9,,,,,,
28,29,29,0,29,9,,,,,,
29,0,30,0,30,9,,,,,,
30,0,31,0,31,9,,,,,,
31,0,32,0,32,9,,,,,,
32,0,33,0,33,9,,,,,,
33,0,0,0,34,9,,,,,,
34,5,8,8,9,9,,,,,,
35,10,16,16,18,9,,,,,,
36,15,24,24,24,9,,,,,,
37,20,32,32,32,9,,,,,,
38,25,40,40,40,9,,,,,,
39,30,48,48,42,9,,,,,,
40,35,56,56,42,9,,,,,,
41,40,64,64,48,9,,,,,,
42,45,72,72,54,9,,,,,,
43,50,80,80,60,9,,,,,,
44,55,88,88,55,9,,,,,,
45,48,96,96,48,9,,,,,,
46,52,104,104,39,9,,,,,,
47,56,112,112,42,9,,,,,,
48,60,120,120,45,9,,,,,,
49,64,128,128,48,9,,,,,,
50,68,119,136,51,9,,,,,,
51,54,126,144,54,9,,,,,,
52,57,95,133,38,9,,,,,,
53,60,100,140,40,9,,,,,,
54,63,84,147,42,9,,,,,,
55,66,88,154,44,9,,,,,,
56,69,92,161,46,9,,,,,,
57,72,48,168,48,9,,,,,,
58,75,50,175,50,9,,,,,,
59,78,52,156,52,9,,,,,,
60,81,54,108,54,9,,,,,,
61,56,56,84,56,9,,,,,,
62,58,58,58,58,9,,,,,,
63,30,60,30,60,9,,,,,,
64,31,31,31,31,9,,,,,,
65,32,32,0,32,9,,,,,,
66,0,33,0,33,9,,,,,,
67,0,34,0,34,9,,,,,,
68,0,35,0,35,9,,,,,,
69,0,0,0,36,9,,,,,,
70,4,12,9,5,9,,,,,,
71,8,24,18,10,9,,,,,,
72,12,30,27,12,9,,,,,,
73,16,40,36,12,9,,,,,,
74,20,50,45,15,9,,,,,,
75,24,60,54,18,9,,,,,,
76,28,70,63,21,9,,,,,,
77,32,80,72,24,9,,,,,,
78,36,90,81,27,9,,,,,,
79,40,100,90,30,9,,,,,,
80,44,99,88,33,9,,,,,,
81,36,108,96,36,9,,,,,,
82,39,117,104,39,9,,,,,,
83,42,112,112,42,9,,,,,,
84,45,120,105,45,9,,,,,,
85,48,128,112,48,9,,,,,,
86,34,136,85,51,9,,,,,,
87,36,144,72,54,9,,,,,,
88,19,114,76,57,9,,,,,,
89,20,100,60,60,9,,,,,,
90,21,105,42,63,9,,,,,,
91,22,110,44,66,9,,,,,,
92,23,115,23,69,9,,,,,,
93,24,96,24,72,9,,,,,,
94,25,75,25,75,9,,,,,,
95,26,26,26,78,9,,,,,,
96,27,0,0,27,9,,,,,,
97,28,0,0,28,9,,,,,,
98,29,0,0,0,9,,,,,,
99,30,0,0,0,9,,,,,,
0,6,13,8,3,10,,,,,,
1,12,26,16,6,10,,,,,,
2,18,39,24,9,10,,,,,,
3,24,44,32,12,10,,,,,,
4,30,55,40,15,10,,,,,,
5,36,66,48,18,10,,,,,,
6,42,77,56,21,10,,,,,,
7,48,88,64,24,10,,,,,,
8,54,99,72,27,10,,,,,,
9,60,110,80,30,10,,,,,,
10,66,121,88,33,10,,,,,,
11,72,132,84,36,10,,,,,,
12,78,117,52,26,10,,,,,,
13,56,126,56,28,10,,,,,,
14,60,135,60,30,10,,,,,,
15,48,128,64,16,10,,,,,,
16,34,136,68,17,10,,,,,,
17,18,126,72,18,10,,,,,,
18,19,133,57,19,10,,,,,,
19,20,140,60,20,10,,,,,,
20,21,147,63,21,10,,,,,,
21,22,132,66,22,10,,,,,,
22,23,115,69,23,10,,,,,,
23,24,96,72,24,10,,,,,,
24,25,100,50,0,10,,,,,,
25,26,104,26,0,10,,,,,,
26,0,54,27,0,10,,,,,,
27,0,56,28,0,10,,,,,,
28,0,29,29,0,10,,,,,,
29,0,30,30,0,10,,,,,,
30,0,31,31,0,10,,,,,,
31,7,12,8,3,10,,,,,,
32,14,24,16,6,10,,,,,,
33,18,36,24,9,10,,,,,,
34,24,48,32,12,10,,,,,,
35,30,60,40,15,10,,,,,,
36,36,72,48,18,10,,,,,,
37,42,84,56,21,10,,,,,,
38,48,88,64,24,10,,,,,,
39,54,99,72,27,10,,,,,,
40,60,110,80,30,10,,,,,,
41,55,121,88,33,10,,,,,,
42,60,132,84,36,10,,,,,,
43,65,130,78,39,10,,,,,,
44,70,126,84,28,10,,,,,,
45,75,135,75,30,10,,,,,,
46,80,144,80,32,10,,,,,,
47,85,153,85,34,10,,,,,,
48,72,162,90,36,10,,,,,,
49,57,171,95,38,10,,,,,,
50,60,140,100,40,10,,,,,,
51,42,126,84,42,10,,,,,,
52,44,132,88,44,10,,,,,,
53,46,115,92,46,10,,,,,,
54,24,120,48,24,10,,,,,,
55,25,75,50,25,10,,,,,,
56,26,78,26,26,10,,,,,,
57,27,81,27,27,10,,,,,,
58,28,84,0,28,10,,,,,,
59,29,29,0,29,10,,,,,,
60,30,30,0,30,10,,,,,,
61,0,0,0,31,10,,,,,,
62,0,0,0,32,10,,,,,,
63,0,0,0,33,10,,,,,,
64,8,7,8,7,10,,,,,,
65,16,14,16,14,10,,,,,,
66,24,21,24,21,10,,,,,,
67,32,28,32,28,10,,,,,,
68,40,35,40,30,10,,,,,,
69,48,42,48,36,10,,,,,,
70,56,49,56,42,10,,,,,,
71,64,56,56,48,10,,,,,,
72,72,63,63,54,10,,,,,,
73,80,70,70,50,10,,,,,,
74,66,77,77,44,10,,,,,,
75,72,84,84,48,10,,,,,,
76,78,91,91,52,10,,,,,,
77,84,84,98,56,10,,,,,,
78,75,75,75,60,10,,,,,,
79,80,64,80,48,10,,,,,,
80,85,68,51,51,10,,,,,,
81,90,72,54,54,10,,,,,,
82,95,76,57,19,10,,,,,,
83,80,60,40,20,10,,,,,,
84,84,42,42,0,10,,,,,,
85,88,44,22,0,10,,,,,,
86,92,46,23,0,10,,,,,,
87,72,48,24,0,10,,,,,,
88,75,25,25,0,10,,,,,,
89,78,0,26,0,10,,,,,,
90,54,0,27,0,10,,,,,,
91,56,0,28,0,10,,,,,,
92,5,11,7,7,10,,,,,,
93,10,22,14,14,10,,,,,,
94,15,33,21,21,10,,,,,,
95,20,44,24,28,10,,,,,,
96,25,55,30,35,10,,,,,,
97,30,66,30,42,10,,,,,,
98,35,77,35,49,10,,,,,,
99,40,88,40,56,10,,,,,,
0,7,10,5,8,11,,,,,,
1,14,20,10,16,11,,,,,,
2,21,30,15,21,11,,,,,,
3,28,40,20,28,11,,,,,,
4,35,50,25,35,11,,,,,,
5,42,60,30,42,11,,,,,,
6,49,70,35,49,11,,,,,,
7,56,80,40,56,11,,,,,,
8,63,81,45,45,11,,,,,,
9,70,80,50,50,11,,,,,,
10,66,88,55,44,11,,,,,,
11,72,96,60,36,11,,,,,,
12,78,104,52,39,11,,,,,,
13,70,98,56,42,11,,,,,,
14,75,105,60,45,11,,,,,,
15,64,112,64,48,11,,,,,,
16,68,119,51,51,11,,,,,,
17,72,108,54,54,11,,,,,,
18,57,114,57,57,11,,,,,,
19,60,120,60,60,11,,,,,,
20,63,126,63,42,11,,,,,,
21,66,110,66,22,11,,,,,,
22,69,115,69,23,11,,,,,,
23,72,120,72,24,11,,,,,,
24,50,100,75,25,11,,,,,,
25,52,104,52,26,11,,,,,,
26,54,108,27,0,11,,,,,,
27,56,112,28,0,11,,,,,,
28,58,116,29,0,11,,,,,,
29,30,90,30,0,11,,,,,,
30,31,62,31,0,11,,,,,,
31,32,32,32,0,11,,,,,,
32,10,5,11,4,11,,,,,,
33,20,10,22,8,11,,,,,,
34,30,12,33,12,11,,,,,,
35,40,16,40,16,11,,,,,,
36,50,20,50,20,11,,,,,,
37,54,24,60,24,11,,,,,,
38,63,28,70,28,11,,,,,,
39,64,32,80,32,11,,,,,,
40,63,36,90,36,11,,,,,,
41,70,40,100,40,11,,,,,,
42,66,44,110,44,11,,,,,,
43,60,48,120,48,11,,,,,,
44,65,52,130,52,11,,,,,,
45,56,42,140,42,11,,,,,,
46,60,45,150,30,11,,,,,,
47,64,48,144,32,11,,,,,,
48,68,51,136,34,11,,,,,,
49,72,36,144,36,11,,,,,,
50,76,38,133,38,11,,,,,,
51,80,40,140,20,11,,,,,,
52,84,42,147,21,11,,,,,,
53,66,44,132,22,11,,,,,,
54,69,46,138,23,11,,,,,,
55,72,48,120,0,11,,,,,,
56,50,0,125,0,11,,,,,,
57,52,0,130,0,11,,,,,,
58,27,0,135,0,11,,,,,,
59,28,0,84,0,11,,,,,,
60,29,0,87,0,11,,,,,,
61,30,0,60,0,11,,,,,,
62,31,0,62,0,11,,,,,,
63,32,0,64,0,11,,,,,,
64,33,0,0,0,11,,,,,,
65,34,0,0,0,11,,,,,,
66,35,0,0,0,11,,,,,,
67,7,3,10,10,11,,,,,,
68,14,6,20,20,11,,,,,,
69,21,9,30,27,11,,,,,,
70,28,12,40,36,11,,,,,,
71,35,15,50,45,11,,,,,,
72,42,18,60,54,11,,,,,,
73,49,21,70,63,11,,,,,,
74,48,24,80,72,11,,,,,,
75,54,27,90,81,11,,,,,,
76,60,30,100,80,11,,,,,,
77,66,33,110,88,11,,,,,,
78,60,36,120,84,11,,,,,,
79,65,39,117,91,11,,,,,,
80,70,42,112,98,11,,,,,,
81,75,45,120,90,11,,,,,,
82,80,32,112,96,11,,,,,,
83,85,34,119,102,11,,,,,,
84,90,36,126,108,11,,,,,,
85,76,19,114,76,11,,,,,,
86,40,20,120,40,11,,,,,,
87,42,21,126,42,11,,,,,,
88,44,22,132,44,11,,,,,,
89,46,23,92,46,11,,,,,,
90,48,0,96,24,11,,,,,,
91,50,0,100,25,11,,,,,,
92,52,0,52,0,11,,,,,,
93,27,0,54,0,11,,,,,,
94,0,0,56,0,11,,,,,,
95,0,0,29,0,11,,,,,,
96,0,0,30,0,11,,,,,,
97,9,7,10,4,11,,,,,,
98,18,14,20,8,11,,,,,,
99,27,21,30,12,11,,,,,,
0,9,6,6,9,12,,,,,,
1,18,12,12,18,12,,,,,,
2,24,18,15,27,12,,,,,,
3,32,24,20,36,12,,,,,,
4,40,30,25,40,12,,,,,,
5,48,36,30,48,12,,,,,,
6,56,42,35,56,12,,,,,,
7,64,48,40,64,12,,,,,,
8,72,54,45,72,12,,,,,,
9,80,60,50,80,12,,,,,,
10,88,66,55,88,12,,,,,,
11,96,72,60,96,12,,,,,,
12,104,78,65,104,12,,,,,,
13,112,84,70,98,12,,,,,,
14,120,90,60,90,12,,,,,,
15,128,80,64,64,12,,,,,,
16,119,68,51,68,12,,,,,,
17,126,72,54,72,12,,,,,,
18,133,57,57,76,12,,,,,,
19,140,60,60,80,12,,,,,,
20,147,63,63,84,12,,,,,,
21,154,44,44,66,12,,,,,,
22,138,46,46,69,12,,,,,,
23,120,24,24,72,12,,,,,,
24,125,25,25,50,12,,,,,,
25,104,0,0,52,12,,,,,,
26,81,0,0,54,12,,,,,,
27,84,0,0,56,12,,,,,,
28,58,0,0,58,12,,,,,,
29,30,0,0,30,12,,,,,,
30,8,5,6,11,12,,,,,,
31,16,10,12,22,12,,,,,,
32,24,15,18,33,12,,,,,,
33,32,20,24,44,12,,,,,,
34,40,25,30,55,12,,,,,,
35,42,30,30,66,12,,,,,,
36,49,35,35,77,12,,,,,,
37,56,32,40,88,12,,,,,,
38,63,36,45,99,12,,,,,,
39,70,40,50,110,12,,,,,,
40,77,44,55,110,12,,,,,,
41,72,48,60,120,12,,,,,,
42,78,52,52,117,12,,,,,,
43,84,56,56,126,12,,,,,,
44,90,60,60,120,12,,,,,,
45,80,64,48,112,12,,,,,,
46,51,68,51,119,12,,,,,,
47,54,72,36,108,12,,,,,,
48,38,76,38,76,12,,,,,,
49,40,60,40,80,12,,,,,,
50,42,63,42,84,12,,,,,,
51,44,66,44,88,12,,,,,,
52,46,69,23,92,12,,,,,,
53,48,48,24,96,12,,,,,,
54,50,50,25,50,12,,,,,,
55,52,52,26,26,12,,,,,,
56,0,27,0,27,12,,,,,,
57,0,28,0,28,12,,,,,,
58,0,0,0,29,12,,,,,,
59,0,0,0,30,12,,,,,,
60,5,5,11,9,12,,,,,,
61,10,10,22,18,12,,,,,,
62,15,15,33,27,12,,,,,,
63,20,20,44,36,12,,,,,,
64,25,25,55,45,12,,,,,,
65,30,30,66,54,12,,,,,,
66,35,35,77,63,12,,,,,,
67,40,40,88,72,12,,,,,,
68,45,45,99,81,12,,,,,,
69,50,50,110,90,12,,,,,,
70,55,55,110,99,12,,,,,,
71,60,60,120,96,12,,,,,,
72,65,52,130,104,12,,,,,,
73,70,56,140,98,12,,,,,,
74,75,60,150,105,12,,,,,,
75,64,64,160,96,12,,,,,,
76,51,51,153,102,12,,,,,,
77,54,54,162,90,12,,,,,,
78,57,38,152,76,12,,,,,,
79,60,40,160,60,12,,,,,,
80,63,42,147,63,12,,,,,,
81,22,22,154,66,12,,,,,,
82,0,23,138,69,12,,,,,,
83,0,24,144,48,12,,,,,,
84,0,25,150,50,12,,,,,,
85,0,26,130,52,12,,,,,,
86,0,27,108,27,12,,,,,,
87,0,28,84,28,12,,,,,,
88,0,29,58,29,12,,,,,,
89,0,30,60,30,12,,,,,,
90,0,31,31,31,12,,,,,,
91,0,32,32,32,12,,,,,,
92,0,33,33,33,12,,,,,,
93,0,0,34,34,12,,,,,,
94,0,0,35,0,12,,,,,,
95,4,8,11,7,12,,,,,,
96,8,16,22,14,12,,,,,,
97,12,21,33,21,12,,,,,,
98,16,28,44,28,12,,,,,,
99,20,30,55,35,12,,,,,,
0,10,7,3,10,13,,,,,,
1,20,14,6,20,13,,,,,,
2,30,21,9,30,13,,,,,,
3,40,28,12,40,13,,,,,,
4,50,35,15,50,13,,,,,,
5,60,36,18,60,13,,,,,,
6,70,35,21,70,13,,,,,,
7,80,40,24,80,13,,,,,,
8,90,45,27,81,13,,,,,,
9,100,50,30,90,13,,,,,,
10,110,44,33,88,13,,,,,,
11,120,36,24,84,13,,,,,,
12,130,39,26,91,13,,,,,,
13,126,28,28,98,13,,,,,,
14,135,15,30,105,13,,,,,,
15,144,16,32,112,13,,,,,,
16,136,17,17,102,13,,,,,,
17,126,18,18,90,13,,,,,,
18,133,19,19,95,13,,,,,,
19,120,20,20,100,13,,,,,,
20,84,21,21,84,13,,,,,,
21,88,22,22,22,13,,,,,,
22,92,0,23,23,13,,,,,,
23,72,0,24,24,13,,,,,,
24,75,0,25,25,13,,,,,,
25,78,0,26,26,13,,,,,,
26,54,0,0,27,13,,,,,,
27,56,0,0,28,13,,,,,,
28,29,0,0,29,13,,,,,,
29,6,4,12,8,13,,,,,,
30,12,8,24,16,13,,,,,,
31,15,12,33,24,13,,,,,,
32,20,16,44,32,13,,,,,,
33,25,20,55,40,13,,,,,,
34,30,24,60,48,13,,,,,,
35,35,28,70,56,13,,,,,,
36,40,32,80,64,13,,,,,,
37,45,36,90,54,13,,,,,,
38,50,40,100,60,13,,,,,,
39,55,44,110,55,13,,,,,,
40,60,48,108,48,13,,,,,,
41,65,52,117,52,13,,,,,,
42,70,56,126,56,13,,,,,,
43,75,60,135,60,13,,,,,,
44,80,64,144,64,13,,,,,,
45,85,68,153,68,13,,,,,,
46,72,72,162,54,13,,,,,,
47,57,76,171,57,13,,,,,,
48,60,80,180,20,13,,,,,,
49,42,63,189,21,13,,,,,,
50,44,66,198,22,13,,,,,,
51,46,69,184,23,13,,,,,,
52,48,48,144,24,13,,,,,,
53,25,25,150,25,13,,,,,,
54,26,26,104,26,13,,,,,,
55,0,27,27,27,13,,,,,,
56,0,28,28,28,13,,,,,,
57,0,29,29,0,13,,,,,,
58,0,30,30,0,13,,,,,,
59,0,31,0,0,13,,,,,,
60,0,32,0,0,13,,,,,,
61,0,33,0,0,13,,,,,,
62,7,7,9,7,13,,,,,,
63,14,14,18,14,13,,,,,,
64,21,21,27,21,13,,,,,,
65,28,28,36,28,13,,,,,,
66,35,35,45,35,13,,,,,,
67,42,42,54,36,13,,,,,,
68,49,49,63,42,13,,,,,,
69,56,56,72,48,13,,,,,,
70,63,63,81,54,13,,,,,,
71,70,70,90,60,13,,,,,,
72,77,77,99,66,13,,,,,,
73,84,84,108,60,13,,,,,,
74,78,91,117,65,13,,,,,,
75,56,98,126,70,13,,,,,,
76,60,105,135,75,13,,,,,,
77,64,96,144,80,13,,,,,,
78,68,102,136,85,13,,,,,,
79,72,108,126,90,13,,,,,,
80,57,114,133,95,13,,,,,,
81,40,120,140,100,13,,,,,,
82,42,105,147,105,13,,,,,,
83,44,110,132,110,13,,,,,,
84,23,115,92,69,13,,,,,,
85,24,120,96,72,13,,,,,,
86,25,125,100,75,13,,,,,,
87,26,130,78,52,13,,,,,,
88,27,135,81,54,13,,,,,,
89,28,140,28,28,13,,,,,,
90,29,145,29,29,13,,,,,,
91,30,90,30,30,13,,,,,,
92,31,62,31,0,13,,,,,,
93,32,32,32,0,13,,,,,,
94,33,33,0,0,13,,,,,,
95,34,0,0,0,13,,,,,,
96,35,0,0,0,13,,,,,,
97,9,2,10,9,13,,,,,,
98,18,4,20,18,13,,,,,,
99,27,3,30,27,13,,,,,,
0,4,10,8,8,14,,,,,,
1,8,20,16,16,14,,,,,,
2,9,30,24,24,14,,,,,,
3,12,40,32,28,14,,,,,,
4,15,50,40,35,14,,,,,,
5,18,60,48,42,14,,,,,,
6,21,70,56,49,14,,,,,,
7,24,80,64,56,14,,,,,,
8,27,90,72,63,14,,,,,,
9,30,100,80,70,14,,,,,,
10,33,110,88,77,14,,,,,,
11,36,120,96,72,14,,,,,,
12,39,130,91,78,14,,,,,,
13,42,140,98,84,14,,,,,,
14,45,135,105,75,14,,,,,,
15,48,112,112,80,14,,,,,,
16,51,119,102,68,14,,,,,,
17,54,126,108,54,14,,,,,,
18,57,114,114,57,14,,,,,,
19,60,80,120,60,14,,,,,,
20,63,84,126,42,14,,,,,,
21,44,88,132,22,14,,,,,,
22,23,46,115,23,14,,,,,,
23,24,48,120,24,14,,,,,,
24,0,25,100,25,14,,,,,,
25,0,26,104,26,14,,,,,,
26,0,27,108,27,14,,,,,,
27,0,28,84,28,14,,,,,,
28,0,0,87,29,14,,,,,,
29,0,0,90,30,14,,,,,,
30,0,0,93,31,14,,,,,,
31,0,0,96,32,14,,,,,,
32,0,0,66,33,14,,,,,,
33,0,0,34,0,14,,,,,,
34,7,8,7,8,14,,,,,,
35,14,16,14,16,14,,,,,,
36,21,24,21,24,14,,,,,,
37,28,32,24,32,14,,,,,,
38,35,40,30,40,14,,,,,,
39,42,48,36,48,14,,,,,,
40,49,56,35,56,14,,,,,,
41,48,64,40,64,14,,,,,,
42,54,63,45,72,14,,,,,,
43,60,70,50,80,14,,,,,,
44,66,77,55,77,14,,,,,,
45,48,84,60,84,14,,,,,,
46,52,91,65,91,14,,,,,,
47,56,98,56,84,14,,,,,,
48,60,105,60,90,14,,,,,,
49,64,112,48,80,14,,,,,,
50,51,119,51,85,14,,,,,,
51,54,108,54,72,14,,,,,,
52,57,114,38,76,14,,,,,,
53,40,100,40,80,14,,,,,,
54,42,105,21,84,14,,,,,,
55,44,110,22,88,14,,,,,,
56,46,92,23,69,14,,,,,,
57,48,72,24,72,14,,,,,,
58,25,75,25,50,14,,,,,,
59,26,78,26,26,14,,,,,,
60,27,81,27,0,14,,,,,,
61,0,56,28,0,14,,,,,,
62,0,58,0,0,14,,,,,,
63,0,30,0,0,14,,,,,,
64,0,31,0,0,14,,,,,,
65,12,8,4,6,14,,,,,,
66,24,16,8,12,14,,,,,,
67,36,24,12,18,14,,,,,,
68,48,32,16,24,14,,,,,,
69,60,40,20,30,14,,,,,,
70,66,48,24,36,14,,,,,,
71,77,56,28,35,14,,,,,,
72,88,64,32,40,14,,,,,,
73,81,72,36,45,14,,,,,,
74,90,80,40,40,14,,,,,,
75,99,88,44,44,14,,,,,,
76,108,96,48,48,14,,,,,,
77,117,104,52,39,14,,,,,,
78,112,112,56,42,14,,,,,,
79,120,90,60,45,14,,,,,,
80,112,96,64,48,14,,,,,,
81,119,102,68,51,14,,,,,,
82,108,108,72,54,14,,,,,,
83,95,95,76,57,14,,,,,,
84,100,100,40,40,14,,,,,,
85,105,105,21,42,14,,,,,,
86,110,88,22,44,14,,,,,,
87,69,69,23,46,14,,,,,,
88,72,72,24,48,14,,,,,,
89,75,75,25,50,14,,,,,,
90,78,78,0,52,14,,,,,,
91,54,54,0,27,14,,,,,,
92,0,56,0,28,14,,,,,,
93,0,58,0,0,14,,,,,,
94,0,30,0,0,14,,,,,,
95,0,31,0,0,14,,,,,,
96,0,32,0,0,14,,,,,,
97,9,7,9,5,14,,,,,,
98,18,14,18,10,14,,,,,,
99,27,21,27,15,14,,,,,,
0,10,7,9,4,15,,,,,,
1,20,14,18,8,15,,,,,,
2,30,21,27,9,15,,,,,,
3,40,28,36,12,15,,,,,,
4,50,35,45,15,15,,,,,,
5,60,42,54,18,15,,,,,,
6,70,49,63,21,15,,,,,,
7,80,56,64,24,15,,,,,,
8,90,63,72,27,15,,,,,,
9,100,70,80,30,15,,,,,,
10,99,77,88,33,15,,,,,,
11,108,84,96,36,15,,,,,,
12,117,65,78,39,15,,,,,,
13,126,70,84,42,15,,,,,,
14,120,60,90,45,15,,,,,,
15,112,48,80,48,15,,,,,,
16,119,51,68,51,15,,,,,,
17,126,54,72,54,15,,,,,,
18,133,38,57,57,15,,,,,,
19,120,20,60,60,15,,,,,,
20,126,21,63,63,15,,,,,,
21,88,22,66,66,15,,,,,,
22,92,23,23,69,15,,,,,,
23,24,0,24,48,15,,,,,,
24,25,0,25,50,15,,,,,,
25,26,0,26,52,15,,,,,,
26,0,0,27,27,15,,,,,,
27,0,0,28,28,15,,,,,,
28,0,0,29,29,15,,,,,,
29,0,0,30,0,15,,,,,,
30,0,0,31,0,15,,,,,,
31,0,0,32,0,15,,,,,,
32,8,8,7,7,15,,,,,,
33,16,16,14,14,15,,,,,,
34,24,24,18,21,15,,,,,,
35,28,32,24,28,15,,,,,,
