,Aggressive Advances,Cautious Advances,Distracted Advances,Learning Advances,Run,,,,,,
73,36,0,0,0,1,,,,,,
74,37,0,0,0,1,,,,,,
75,38,0,0,0,1,,,,,,
76,5,5,11,9,1,,,,,,
77,10,10,22,18,1,,,,,,
78,15,15,33,24,1,,,,,,
79,20,20,44,32,1,,,,,,
80,25,20,55,40,1,,,,,,
81,30,24,66,48,1,,,,,,
82,35,28,77,56,1,,,,,,
83,40,32,88,64,1,,,,,,
84,45,36,99,72,1,,,,,,
85,50,40,110,80,1,,,,,,
86,55,44,121,88,1,,,,,,
87,60,48,132,96,1,,,,,,
88,65,52,143,104,1,,,,,,
89,70,56,154,98,1,,,,,,
90,75,60,165,105,1,,,,,,
91,80,48,176,96,1,,,,,,
92,85,51,187,102,1,,,,,,
93,90,36,180,108,1,,,,,,
94,76,38,190,114,1,,,,,,
95,80,40,200,100,1,,,,,,
96,84,21,168,84,1,,,,,,
97,88,22,110,88,1,,,,,,
98,92,23,92,69,1,,,,,,
99,72,24,96,72,1,,,,,,
0,8,8,6,8,2,,,,,,
1,16,16,12,16,2,,,,,,
2,24,24,18,24,2,,,,,,
3,32,32,20,32,2,,,,,,
4,40,40,25,40,2,,,,,,
5,48,42,30,48,2,,,,,,
6,56,49,35,56,2,,,,,,
7,56,56,40,64,2,,,,,,
8,63,63,45,72,2,,,,,,
9,60,70,50,80,2,,,,,,
10,66,77,55,88,2,,,,,,
11,72,84,48,96,2,,,,,,
12,78,91,52,104,2,,,,,,
13,84,98,42,98,2,,,,,,
14,75,105,45,105,2,,,,,,
15,80,112,48,112,2,,,,,,
16,68,119,51,119,2,,,,,,
17,54,126,54,126,2,,,,,,
18,57,114,57,114,2,,,,,,
19,60,100,60,100,2,,,,,,
20,63,63,42,84,2,,,,,,
21,66,66,44,88,2,,,,,,
22,69,46,46,92,2,,,,,,
23,48,48,48,72,2,,,,,,
24,25,50,50,50,2,,,,,,
25,26,52,52,26,2,,,,,,
26,27,54,54,27,2,,,,,,
27,28,28,56,28,2,,,,,,
28,29,0,29,29,2,,,,,,
29,30,0,30,30,2,,,,,,
30,31,0,31,0,2,,,,,,
31,32,0,32,0,2,,,,,,
32,33,0,0,0,2,,,,,,
33,34,0,0,0,2,,,,,,
34,8,5,10,7,2,,,,,,
35,16,10,20,14,2,,,,,,
36,24,15,30,18,2,,,,,,
37,32,20,40,24,2,,,,,,
38,40,25,50,30,2,,,,,,
39,48,30,60,36,2,,,,,,
40,56,35,70,35,2,,,,,,
41,64,40,80,40,2,,,,,,
42,54,45,90,45,2,,,,,,
43,60,50,100,50,2,,,,,,
44,66,55,110,55,2,,,,,,
45,72,60,120,48,2,,,,,,
46,78,65,130,52,2,,,,,,
